kc_id,glomerulus,synapses
720575940602564320,VA7m,9
720575940602564320,VC4,23
720575940602564320,VM1,25
720575940602605536,DM4,15
720575940602605536,DM6,16
720575940602605536,DP1m,13
720575940602605536,VC2,11
720575940602605536,VC3,10
720575940603050668,DM3,23
720575940603050668,DM4,26
720575940603050668,VA1d,25
720575940603084972,DA1,6
720575940603084972,DC1,20
720575940603084972,VA1v,7
720575940603084972,VA2,8
720575940603084972,VM7v,14
720575940603111392,DM1,26
720575940603111392,DM6,11
720575940603111392,VA3,17
720575940603111392,VC4,5
720575940603174368,DM6,5
720575940603174368,DP1l,19
720575940603174368,VA2,8
720575940603174368,VC3,6
720575940603642982,DM1,22
720575940603642982,VC5,22
720575940603642982,VM3,21
720575940603673120,DC1,29
720575940603673120,DL1,25
720575940603673120,DM6,12
720575940603673120,VA5,14
720575940603673120,VM7d,6
720575940603674656,DA1,24
720575940603674656,DL5,28
720575940603674656,DM2,14
720575940603674656,VA4,9
720575940603688224,VA1v,14
720575940603688224,VM7d,20
720575940603719712,DA4l,7
720575940603719712,DC2,21
720575940603719712,VA7m,12
720575940603719712,VC3,19
720575940603721248,DM2,11
720575940603721248,DP1m,32
720575940603721248,V,9
720575940603721248,VA4,17
720575940603721248,VC2,20
720575940603747616,DC4,16
720575940603747616,VA1v,12
720575940603747616,VA3,6
720575940603751782,DC1,17
720575940603751782,DC2,28
720575940603751782,DP1m,48
720575940603751782,VM7d,11
720575940603773798,VA6,24
720575940604008672,DA4l,9
720575940604008672,DC1,10
720575940604008672,DL5,6
720575940604008672,DM6,12
720575940604008672,VA6,10
720575940604008672,VA7m,17
720575940604008672,VM5d,27
720575940604319078,DP1m,9
720575940604319078,VA6,14
720575940604478176,DP1m,13
720575940604478176,V,23
720575940604478176,VA2,26
720575940604478176,VA6,16
720575940604483040,DL5,7
720575940604489649,DP1l,6
720575940604489649,DP1m,5
720575940604489649,VA2,5
720575940604630240,VA5,5
720575940604630240,VM7d,36
720575940604630496,DM1,22
720575940604630496,DM3,13
720575940604630496,DP1m,39
720575940604630496,VA2,16
720575940604630496,VM4,14
720575940604766153,DM1,28
720575940604766153,DM2,37
720575940604766153,DM4,38
720575940604766153,VC4,24
720575940604770249,DM1,13
720575940604770249,DM3,6
720575940604770249,DP1m,15
720575940604770249,VC5,9
720575940604806345,DA4l,11
720575940604806345,DC1,16
720575940604806345,DL1,12
720575940604860332,DL1,29
720575940604860332,DM2,15
720575940604860332,VC3,18
720575940604860332,VL2a,5
720575940604860332,VL2p,14
720575940604884396,DC3,8
720575940604884396,DL1,23
720575940604884396,DM6,26
720575940604884396,DP1m,5
720575940604934572,D,13
720575940604934572,DL1,17
720575940604934572,DM6,12
720575940604934572,VA2,6
720575940604934572,VA3,15
720575940604934572,VA7m,15
720575940604935340,DL3,5
720575940604935340,VA2,18
720575940604935340,VP1d,16
720575940604962918,DA2,6
720575940604962918,DM1,27
720575940604962918,DP1l,39
720575940604962918,DP1m,8
720575940604963942,DC3,6
720575940604963942,DM6,21
720575940604963942,DP1l,18
720575940604963942,VA1d,21
720575940604963942,VA4,9
720575940604963942,VA7m,21
720575940604997152,DC2,21
720575940604997152,DL1,17
720575940604997152,DL5,10
720575940604997152,DM6,18
720575940604997152,DP1m,15
720575940604997152,VA7l,12
720575940604997152,VM5d,22
720575940604999526,DL5,12
720575940604999526,DM1,15
720575940604999526,VA7m,15
720575940604999526,VM5d,17
720575940604999526,VM5v,29
720575940605000550,DL1,13
720575940605000550,DL5,12
720575940605000550,VA1v,10
720575940605000550,VA7m,10
720575940605000550,VC3,11
720575940605000550,VM5d,11
720575940605029250,DA1,10
720575940605029250,DL1,10
720575940605036418,D,12
720575940605036418,DL2v,6
720575940605036418,DM5,8
720575940605036418,VA3,14
720575940605083838,DP1m,16
720575940605083838,VA1d,9
720575940605083838,VA1v,17
720575940605083838,VA6,21
720575940605083838,VA7l,15
720575940605083838,VL1,13
720575940605083838,VL2a,6
720575940605167025,DM1,9
720575940605167025,DM4,9
720575940605167025,DP1m,9
720575940605171121,DL1,15
720575940605171121,DL2d,17
720575940605171121,DM6,19
720575940605171121,VA7m,6
720575940605171121,VM7d,12
720575940605180337,DM2,20
720575940605180337,DM6,11
720575940605180337,DP1l,23
720575940605180337,VA2,23
720575940605180337,VA4,7
720575940605180337,VC2,12
720575940605180337,VM1,10
720575940605184102,DC1,14
720575940605184102,DL2v,20
720575940605184102,DM3,10
720575940605184102,VC1,16
720575940605196465,VA1d,35
720575940605196465,VA6,9
720575940605196465,VM2,21
720575940605197745,DC3,8
720575940605197745,DM2,13
720575940605197745,DM6,25
720575940605197745,VA7l,18
720575940605197745,VC4,14
720575940605197745,VC5,19
720575940605252041,DM1,30
720575940605252041,DM4,12
720575940605252041,VM7d,11
720575940605290441,DP1l,14
720575940605290441,VA1v,16
720575940605290441,VC1,14
720575940605290441,VM1,20
720575940605338290,DA4m,20
720575940605338290,DC4,15
720575940605338290,DM6,20
720575940605338290,VM7d,33
720575940605362610,DM1,22
720575940605362610,DM2,14
720575940605362610,DM6,14
720575940605362610,DP1m,21
720575940605362610,VA4,13
720575940605362610,VM3,10
720575940605407846,DP1l,29
720575940605407846,VA1d,25
720575940605407846,VM7d,15
720575940605451552,DC1,8
720575940605451552,DM2,18
720575940605451552,DP1m,20
720575940605451552,VA6,16
720575940605451552,VM7d,15
720575940605452064,DC1,15
720575940605452064,DP1m,14
720575940605488416,DA4l,14
720575940605488416,DC1,38
720575940605488416,DM1,25
720575940605488416,VM4,17
720575940605488416,VM5d,18
720575940605507249,DM4,25
720575940605507249,DP1l,17
720575940605507249,V,15
720575940605507249,VM2,22
720575940605541920,DM1,17
720575940605541920,DM4,39
720575940605541920,VA3,8
720575940605541920,VM5d,25
720575940605551718,DA4l,17
720575940605551718,DL1,30
720575940605551718,VA3,17
720575940605551718,VM5d,30
720575940605552742,D,5
720575940605552742,DL2d,16
720575940605552742,DM1,5
720575940605552742,DM5,8
720575940605552742,DP1m,9
720575940605552742,VA6,10
720575940605552742,VP1d,5
720575940605565886,DA1,17
720575940605565886,VA3,10
720575940605565886,VA4,15
720575940605565886,VA6,14
720575940605565886,VA7m,12
720575940605597216,DA1,16
720575940605597216,DM3,5
720575940605597216,VA2,9
720575940605597216,VC4,11
720575940605597216,VC5,14
720575940605606274,DA1,15
720575940605606274,DP1m,20
720575940605606274,VA1d,26
720575940605606274,VA2,17
720575940605606274,VA7l,5
720575940605606274,VC3,11
720575940605606274,VM5v,17
720575940605627057,DC1,38
720575940605627057,DL1,8
720575940605627057,DM2,7
720575940605627057,V,17
720575940605627057,VC5,21
720575940605664446,DC1,12
720575940605664446,DM1,16
720575940605664446,VC4,11
720575940605664446,VM3,9
720575940605792434,DL1,5
720575940605817522,DA1,7
720575940605817522,DL1,10
720575940605817522,DL3,7
720575940605817522,DP1l,8
720575940605934001,VA1v,14
720575940605934001,VA6,14
720575940605934001,VM5v,17
720575940605934001,VM7d,19
720575940605997257,DA4l,5
720575940605997257,DL1,13
720575940605997257,V,13
720575940605997257,VA7m,6
720575940605997257,VC5,5
720575940605997257,VL2p,12
720575940605997257,VM1,8
720575940605997513,VA1v,15
720575940605997513,VA7m,7
720575940605997513,VC3,9
720575940605997513,VM5d,6
720575940606331996,DL2v,31
720575940606331996,VA2,17
720575940606331996,VC4,30
720575940606331996,VM5d,24
720575940606331996,VM7d,23
720575940606341250,DL5,23
720575940606341250,VC5,17
720575940606341250,VL2a,16
720575940606341250,VM3,10
720575940606347394,DC3,11
720575940606347394,DL2d,24
720575940606347394,VA2,19
720575940606347394,VC2,12
720575940606347394,VM2,15
720575940606399068,DA1,26
720575940606399068,DC1,22
720575940606399068,VA1v,25
720575940606399068,VA6,22
720575940606399068,VL2a,18
720575940606452681,DM2,31
720575940606452681,DM3,24
720575940606452681,DM4,14
720575940606452681,VA2,31
720575940606452681,VM3,20
720575940606454108,DM1,18
720575940606454108,DP1m,27
720575940606454108,VA2,26
720575940606454108,VM3,17
720575940606477660,DM3,12
720575940606477660,DM4,8
720575940606477660,DP1l,27
720575940606477660,VA3,18
720575940606477660,VA4,8
720575940606483467,DC1,6
720575940606483467,DC2,15
720575940606483467,DL2v,30
720575940606483467,DP1m,25
720575940606483467,VC5,13
720575940606483467,VM3,19
720575940606483723,DC1,10
720575940606483723,DL5,24
